,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.759,0.6463414634146342,0.5079872204472844,0.5688729874776386,0.8183657240118867
Decision Tree,0.743,0.6138211382113821,0.48242811501597443,0.5402504472271914,0.7871539452451042
Random Forest,0.757,0.6605504587155964,0.46006389776357826,0.5423728813559322,0.8158079532718538
Gradient Boosting,0.761,0.6541666666666667,0.5015974440894568,0.5678119349005425,0.8277759950890802
Tuned Gradient Boosting (FINAL),0.768,0.6784140969162996,0.49201277955271566,0.5703703703703704,0.8343843445828741
